pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,tfopwg_disp
0.3125737,0.526,4540.0,8.09753,4234.06,2247.0,13.1875,389.119,5202.0,4.53,0.84,APC
0.58228,0.691,3170.0,7.80197,1871.39,1832.0,12.7147,730.972,6288.0,4.29,1.32,APC
10.7189647,3.9269424,7404.305981,22.4497849,1054.281269,1453.312043,10.6734,625.01,7830.0,4.07,2.0715599,APC
7.2972359,0.827,3780.0,13.2402,14.5303,543.0,10.185,370.146,6433.0,3.91,2.1,APC
2.4759733,1.0466923,386.7493472,2.8062638,1571.15561,1605.737499,8.4332,100.245,6025.0,4.33135,1.33012,APC
0.1846924,0.386,1390.0,4.10645,7063.84,2554.0,12.058,341.371,5958.8,4.57,0.9,APC
0.5348968,0.504,6240.0,5.99059,518.242,1329.0,13.2633,314.782,5414.2,4.88,0.58,APC
0.5209929,1.101,8570.0,18.4513,4262.45,2251.0,12.8494,995.15,6116.2,3.89,2.01,APC
0.9195617,1.153,9180.0,8.69931,2224.03,1913.0,11.0611,144.866,5616.0,4.3762,0.82,APC
3.9072351,3.366,14650.0,13.9055,676.473,1420.0,12.4325,522.789,6294.0,4.42,1.13,APC
0.5993364,1.024,2180.0,14.3367,3334.9,2117.0,12.993,1695.32,6232.0,3.62,2.81,APC
4.3905983,2.3792658,8720.930411,25.8544805,1634.391027,1621.656032,11.6805,655.523,5796.0,4.12,1.96701,APC
0.6216031,1.1570716,2344.624976,8.6439547,26805.6102,3263.44407,12.4644,802.97,8038.0,4.37,1.50848,APC
0.8054361,1.06,2980.0,8.06243,2752.55,2017.0,11.024,336.367,5905.0,4.13,1.4,APC
1.3287182,1.7017624,9179.507419,21.995993,6094.364975,2253.470434,12.7602,957.936,6273.0,4.08,1.67606,APC
9.162268,2.067,20340.0,11.8107,34.4415,674.0,11.9316,187.506,4935.8,4.59,0.75,APC
3.9982381,2.867,53030.0,20.4596,235.437,1091.0,13.5836,549.708,5509.0,4.53,0.88,APC
0.58007,1.338,16320.0,16.4382,7501.75,2592.0,13.4444,1034.65,6875.0,4.37,1.33,APC
7.4365725,2.774,5020.0,17.5053,1178.73,1632.0,11.686,1269.3,9230.0,4.09,2.29,APC
0.7962992,0.997,23170.0,14.8058,278.056,1137.0,12.9517,232.861,4062.7,4.61,0.95,APC
3.541231,2.4849489,5029.736872,10.6621914,765.9360296,1341.738478,12.2607,506.715,5755.0,4.23,1.28259,APC
1.8703411,2.134,9570.0,18.6634,3374.5,2123.0,11.099,450.78,6368.0,4.08,1.7,APC
3.606557,1.878,9930.0,13.2514,310.789,1169.0,11.342,308.901,5775.3,4.25,1.26,APC
4.6492201,1.143,7880.0,8.96002,26.3101,630.0,11.6104,201.727,5110.0,4.44,0.93,APC
0.7463239,1.49,24240.0,19.7419,3197.59,2094.0,13.2294,445.1,5132.0,4.34,1.04,APC
13.32379,2.561,95718.1,28.7396,12.7172,526.0,13.1186,275.027,4312.0,4.59,0.84,APC
0.7135373,0.892,18540.0,16.1586,667.233,1415.0,12.7464,182.561,4349.7,4.58,0.74,APC
0.9787891,1.754,6770.0,17.8038,5251.58,2371.0,12.8299,1251.25,6959.0,3.98,2.09,APC
2.9478339,2.205,5030.0,18.9265,2791.77,2025.0,11.7212,470.939,6296.0,4.27,1.35,APC
17.9160113,1.889,9906.0,18.2667,27.7718,639.0,9.5498,199.657,6090.2,4.11,1.57,APC
16.7375044,1.319,2570.0,16.0108,12.3014,521.0,10.6857,564.342,6549.0,3.62,2.97,APC
10.5634342,1.011,11150.0,12.1545,3.01202,367.0,10.956,136.169,4688.0,4.33,0.99,APC
5.0949767,4.57,4150.0,15.7588,915.595,1532.0,11.8807,872.374,6565.0,4.18,2.25,APC
0.422425,0.68,4090.0,8.6772,1423.41,1711.0,13.3477,532.33,5269.0,4.25,1.18,APC
16.0085751,4.452,14340.0,19.3218,150.886,976.0,10.1862,173.108,5992.0,4.34939,1.08,APC
