koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
11.59822233,180.395376,0.679,2.5237,2.8045e+03,2.65,396,5.82,71,3688,4.79,0.473,296.22195,50.28722,15.937
6.575315881,173.634044,0.39,4.3084,2.7933e+03,5.31,1015,251.38,221.1,5992,4.415,0.989,290.09805,50.321609,15.312
7.275040844,169.994217,0.547,7.5377,3.0010e+03,4.86,833,113.64,312.1,5485,4.556,0.867,295.45529,50.49456,15.08
19.27153892,186.77093,0.031,2.7594,1.2198e+03,1.93,393,5.66,37.1,4077,4.702,0.56,293.97336,50.53191,15.385
10.06524317,136.28906,0.628,1.369,1.0533e+03,1.91,488,13.43,30.3,4077,4.702,0.56,293.97336,50.53191,15.385
12.3935651,178.74725,0.883,3.8896,9.1660e+02,2.66,677,49.68,35.8,5557,4.603,0.75,296.02133,50.56778,15.505
43.84439721,151.93538,0.852,6.802,6.1520e+02,2.87,531,18.77,83.7,5854,4.406,1.012,300.86398,44.337551,12.882
3.341913228,171.63943,1.213,3.813,7.2530e+02,21.55,1032,268.67,39,5295,4.551,0.811,292.31595,38.27029,15.629
1.626630225,169.820171,1.26,2.1145,1.6206e+03,32.43,1547,1355.88,103.6,5735,4.41,0.973,294.36819,38.31028,15.279
2.711504086,170.03417,0.023,3.0099,8.3750e+02,3.12,1420,960.79,64.5,6214,4.442,1.076,291.65353,38.494659,15.541
7.21203748,172.81782,0.012,4.0491,9.5040e+02,3.32,1025,260.58,51.5,6214,4.442,1.076,291.65353,38.494659,15.541
14.1798187,171.50237,0.1601,2.505,4.5990e+02,1.88,711,60.35,11.2,5799,4.539,0.878,291.0448,51.321671,15.727
8.47237911,174.16212,0.022,2.7245,1.1235e+03,2.59,751,75.44,47.6,5354,4.587,0.788,296.36652,51.319519,15.339
60.4189369,181.16367,0.094,5.039,9.3130e+02,2.36,390,5.49,20.1,5354,4.587,0.788,296.36652,51.319519,15.339
12.61190435,180.892284,0.55,5.1497,6.1056e+03,7.4,753,76.15,277.2,5795,4.508,0.919,289.11221,51.737381,15.14
1.433769925,170.403536,1.268,1.8868,1.9763e+03,46.58,1920,3209.29,112.6,6017,4.22,1.339,290.84369,37.728828,15.122
10.31872301,173.31543,1.215,3.836,8.7170e+02,28.59,876,139.26,38.2,5927,4.409,1.06,291.84891,37.713501,15.065
2.539183147,169.67494,0.238,2.4282,3.8210e+02,2.06,1332,743.09,38.9,5519,4.35,1.062,291.43997,37.905659,15.026
6.770300385,170.57662,0.838,2.0844,1.3040e+03,2.77,812,102.87,50.8,5653,4.656,0.679,290.87051,38.273628,15.591
0.444291966,169.865406,1.258,2.0792,1.0967e+04,27.51,1836,2706.26,299.7,5255,4.678,0.636,290.99689,38.28492,15.748
10.181584,177.141891,0.92,3.5089,5.7411e+03,7.73,812,102.91,183.6,5988,4.541,0.836,291.28195,38.241669,15.657
20.06036336,147.46554,0.556,3.3203,1.4947e+03,1.96,361,4,35.2,3950,4.754,0.493,286.07913,39.27832,15.954
46.1842039,165.23729,0.013,4.758,1.3947e+03,1.83,273,1.32,26,3950,4.754,0.493,286.07913,39.27832,15.954
23.9800854,147.537,0.95,5.351,1.0400e+02,1.31,649,41.94,17.1,5854,4.406,1.012,300.86398,44.337551,12.882
7.82502168,136.54995,0.708,2.186,5.2080e+02,1.2,494,14.05,15.9,3950,4.754,0.493,286.07913,39.27832,15.954
3.895936525,170.527552,0.524,2.3111,8.5448e+03,7.34,1005,241.62,370.8,5557,4.592,0.774,294.65524,39.308361,15.725
22.36646466,175.45862,0.4,5.228,9.8680e+02,2.32,536,19.45,32.1,5395,4.615,0.734,294.71063,39.52174,15.583
1.625522174,170.8266564,0.076,2.38963,7.9690e+03,9.73,1579,1467.41,799.7,5539,4.322,1.106,293.87192,38.422939,15.001
19.62034692,181.881819,0.458,2.0038,2.1725e+04,13.6,643,40.39,340.5,5710,4.492,0.905,293.81619,38.563568,15.562
7.544039,171.7982,1.175,6.222,3.2260e+02,17.47,838,116.46,14.2,5657,4.567,0.824,293.94116,38.601101,15.559
9.02930689,177.20422,0.024,3.1449,1.0198e+03,2.57,757,77.75,53.9,5349,4.526,0.82,290.33362,38.72823,15.387
10.32803571,174.581054,0.281,7.7915,1.6918e+04,13.28,843,119.31,636.8,5627,4.359,1.024,287.69675,38.886452,15.646
143.2063047,154.23552,0.379,8.9302,1.0566e+04,8.9,308,2.14,138.8,5485,4.556,0.867,285.28363,38.947281,15.403
6.164876,135.63916,0.646,3.262,5.5800e+01,0.79,1021,256.35,14.4,5854,4.406,1.012,300.86398,44.337551,12.882
60.32494216,243.892578,0.224,6.6188,2.0280e+04,12.19,411,6.77,347.2,5485,4.556,0.867,285.28363,38.947281,15.403
29.1598615,150.69922,0.3619,4.803,4.8800e+02,1.91,524,17.85,11.6,5485,4.556,0.867,285.28363,38.947281,15.403
1.540397253,170.50479,1.225,2.1541,8.1610e+02,25.69,1470,1105.68,38.8,5663,4.53,0.915,286.92639,38.921631,15.974
2.99025443,171.9834,0.014,5.414,5.8920e+02,1.7,918,168.45,48.5,4667,4.578,0.731,287.74881,38.92955,15.842
1.594745374,170.6483505,0.514,1.9604,1.5044e+04,11.3,1539,1329.42,1009.3,5934,4.491,0.893,285.21381,39.027481,15.53
4.783002698,170.508434,0.003,2.335,1.0087e+03,2.5,886,145.48,70.6,5170,4.574,0.807,287.09399,39.060719,15.119
20.50588921,181.43428,0.26,4.0595,2.1055e+03,3.41,518,17.06,78.5,4905,4.544,0.761,289.31543,39.153278,15.398
3.340218842,171.979062,0.466,1.9104,1.6326e+03,2.03,656,43.73,71.6,3950,4.754,0.493,286.07913,39.27832,15.954
2.507089906,171.002455,1.255,2.0067,1.3392e+03,30.26,1326,730.47,64.9,5926,4.506,0.939,295.37805,40.493401,15.555
18.64932728,174.771,0.08,4.4056,8.9360e+02,3.12,701,57.13,46.1,5775,4.405,1.053,290.46176,40.562462,15.386
4.90144976,138.60548,0.529,4.1654,1.4070e+02,1.7,1262,598.74,50.6,5847,4.191,1.402,297.02826,48.208611,12.487
9.75192101,138.78608,0.949,4.793,4.1800e+02,2.76,870,135.66,28.5,5775,4.405,1.053,290.46176,40.562462,15.386
38.5576546,163.85063,0.911,5.794,9.9300e+02,4.02,550,21.71,39.7,5775,4.405,1.053,290.46176,40.562462,15.386
3.525632539,170.0479951,0.12,2.59959,2.2335e+04,11.58,975,213.12,1996.7,5150,4.572,0.793,290.58173,40.5774,15.224
34.84398644,172.633252,0.934,2.9315,4.5236e+03,7.61,511,16.1,76.8,5509,4.482,0.871,285.92001,39.624828,15.684
7.748094239,174.997206,0.517,3.5957,2.4721e+03,5.52,964,204.39,113.2,5973,4.439,1.085,294.4899,39.771439,15.67
23.96793669,186.22182,0.416,3.827,1.1823e+03,1.8,329,2.77,27.5,3747,4.728,0.524,283.86639,39.898079,15.414
8.29561738,135.79284,0.888,1.3421,8.2430e+02,1.82,469,11.39,17.9,3747,4.728,0.524,283.86639,39.898079,15.414
8.11437482,176.33968,0.573,2.2736,1.5580e+03,2.1,460,10.55,56.4,3692,4.753,0.517,288.81201,40.033401,15.877
38.03672948,196.934947,0.501,4.34617,8.2872e+04,27.5,500,14.81,1300,5575,4.521,0.932,294.14789,40.055538,15.472
4.64090031,173.64638,1.28,35.512,2.4506e+03,30.09,1155,421.08,296.9,6463,4.5,0.826,295.11371,40.071171,15.27
3.747838198,171.66504,1.121,5.0642,6.1600e+02,13.65,1031,266.76,138.2,5514,4.569,0.826,291.06152,50.265129,13.496
14.74914825,138.77799,0.173,6.0995,4.3020e+02,2.89,874,137.91,107.4,5847,4.191,1.402,297.02826,48.208611,12.487
21.81295996,174.01085,0.053,4.3791,1.1754e+03,3.38,639,39.33,37.8,5601,4.41,0.999,294.77686,40.15374,15.54
7.91936937,172.181092,0.733,3.3148,1.5148e+04,10.34,814,104,389,5690,4.588,0.776,283.53845,40.217999,15.805
1.028436523,170.228582,1.5734,1.8606,8.0980e+03,72.77,1947,3400.48,89.6,6228,4.428,0.99,296.00699,40.295429,15.202
15.37562369,173.61402,0.692,3.3169,1.5337e+04,11.01,600,30.54,166,4986,4.496,0.833,283.25354,40.358189,16.422
8.10363271,176.9486,0.047,3.161,8.8790e+02,2.11,687,52.82,39.3,4861,4.574,0.732,283.22141,40.421829,15.289
4.71510843,134.96178,0.258,2.506,4.1750e+02,1.46,823,108.84,21.3,4861,4.574,0.732,283.22141,40.421829,15.289
6.365839713,171.13575,0.524,2.9721,7.8070e+02,2.44,914,165.33,70.8,5776,4.554,0.849,291.14951,40.420521,15.09
5.97581754,174.77602,0.941,3.065,9.6240e+02,3.86,1047,284.25,50.3,6108,4.471,0.997,294.22397,40.417858,15.546
2.446737317,170.66951,1.241,4.7211,1.1779e+03,26.25,1261,597.19,110.2,5764,4.548,0.863,298.96112,40.862808,15.021
3.04033046,169.9490106,0.736,1.8411,1.0859e+04,8.99,1021,257.29,568.2,5035,4.519,0.791,299.3161,40.82238,15.028
15.33528675,174.00278,0.773,3.897,3.0814e+03,5,610,32.67,86.6,5251,4.581,0.817,292.23676,41.08588,15.855
7.95825328,137.80219,0.706,4.377,5.0000e+01,1.06,1074,314.15,14.7,5847,4.191,1.402,297.02826,48.208611,12.487
31.33046135,153.43031,0.798,5.176,5.0738e+03,6.5,481,12.61,117.2,5251,4.581,0.817,292.23676,41.08588,15.855
3.9043425,173.393734,0.709,3.831,1.6228e+04,12.28,1104,351.05,323.4,5810,4.526,0.898,294.05676,40.549679,15.016
9.286358079,171.8214689,0.377,3.49949,4.4791e+04,17.61,796,95.03,1671.1,5670,4.523,0.821,294.74396,40.53392,15.365
3.951405455,173.276125,1.276,2.1862,2.4539e+03,31.44,1133,388.71,117.2,6046,4.539,0.869,295.50439,40.505489,15.446
23.65369415,171.376107,0.008,8.2183,3.3418e+03,7.89,731,67.65,266.3,5739,4.191,1.384,287.89713,40.637821,15.084
13.23352214,140.32196,0.014,6.7372,5.0460e+02,3.06,888,146.67,49.1,5739,4.191,1.384,287.89713,40.637821,15.084
