koi_period,koi_period_err1,koi_time0bk_err1,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_depth,koi_depth_err1,koi_prad,koi_prad_err1,koi_teq,koi_insol,koi_insol_err1,koi_model_snr,koi_tce_plnt_num,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_disposition_encoded
7.2406612,1.617e-05,0.002,1.198,49.85,-0.258,0.558,0.171,556.4,44.1,19.45,1.4,734.0,68.63,15.32,13.7,2.0,0.012,-0.064,0.765,0.055,-0.028,1
3.43591631,4.729e-05,0.011,0.624,0.037,-0.476,3.133,0.407,23.2,3.4,0.55,0.08,1272.0,617.61,251.11,8.7,3.0,0.132,-0.108,1.087,0.157,-0.142,1
11.59822233,1.407e-05,0.000923,0.679,0.187,-0.47,2.5237,0.052,2804.5,46.3,2.65,0.21,396.0,5.82,1.49,71.0,1.0,0.05,-0.045,0.473,0.037,-0.051,2
6.575315881,3.726e-06,0.000455,0.39,0.065,-0.306,4.3084,0.0306,2793.3,14.9,5.31,1.5,1015.0,251.38,209.1,221.1,1.0,0.105,-0.195,0.989,0.28,-0.151,2
7.275040844,4.677e-06,0.000507,0.547,0.052,-0.229,7.5377,0.0681,3001.0,11.5,4.86,1.05,833.0,113.64,75.31,312.1,1.0,0.028,-0.161,0.867,0.187,-0.067,2
19.27153892,4.145e-05,0.00182,0.031,0.36,-0.031,2.7594,0.0551,1219.8,35.3,1.93,0.1,393.0,5.66,1.13,37.1,1.0,0.027,-0.027,0.56,0.03,-0.034,2
10.06524317,1.49e-05,0.00119,0.628,0.003,-0.478,1.369,0.0393,1053.3,39.2,1.91,0.1,488.0,13.43,2.69,30.3,2.0,0.027,-0.027,0.56,0.03,-0.034,2
12.3935651,3.932e-05,0.00245,0.883,0.033,-0.64,3.8896,0.0834,916.6,29.1,2.66,0.54,677.0,49.68,31.16,35.8,1.0,0.034,-0.128,0.75,0.152,-0.065,2
43.84439721,9.613e-05,0.00192,0.852,0.039,-0.585,6.802,0.119,615.2,7.7,2.87,0.43,531.0,18.77,7.98,83.7,2.0,0.09,-0.11,1.012,0.154,-0.103,2
3.341913228,9.953e-06,0.00247,1.213,11.28,-0.141,3.813,0.12,725.3,21.3,21.55,3.54,1032.0,268.67,145.91,39.0,1.0,0.049,-0.105,0.811,0.133,-0.071,0
1.626630225,1.015e-06,0.000487,1.26,4.827,-0.043,2.1145,0.0285,1620.6,19.0,32.43,9.0,1547.0,1355.88,1105.99,103.6,1.0,0.124,-0.186,0.973,0.27,-0.145,0
2.711504086,3.8e-06,0.00111,0.023,0.405,-0.023,3.0099,0.0423,837.5,14.5,3.12,1.02,1420.0,960.79,931.74,64.5,1.0,0.054,-0.216,1.076,0.353,-0.118,2
7.21203748,1.553e-05,0.00163,0.012,0.394,-0.012,4.0491,0.058,950.4,19.5,3.32,1.09,1025.0,260.58,252.7,51.5,2.0,0.054,-0.216,1.076,0.353,-0.118,2
8.47237911,1.56e-05,0.00149,0.022,0.378,-0.022,2.7245,0.0484,1123.5,26.7,2.59,0.37,751.0,75.44,35.44,47.6,1.0,0.032,-0.104,0.788,0.113,-0.066,2
60.4189369,0.0005043,0.00625,0.094,0.359,-0.094,5.039,0.184,931.3,49.6,2.36,0.34,390.0,5.49,2.58,20.1,2.0,0.032,-0.104,0.788,0.113,-0.066,2
12.611904345,6.65e-06,0.000413,0.55,0.065,-0.128,5.1497,0.0592,6105.6,27.6,7.4,2.2,753.0,76.15,66.33,277.2,1.0,0.039,-0.208,0.919,0.273,-0.091,2
1.433769925,7.41e-07,0.000397,1.268,5.652,-0.123,1.8868,0.0232,1976.3,20.4,46.58,8.01,1920.0,3209.29,1411.94,112.6,1.0,0.156,-0.117,1.339,0.23,-0.23,0
10.31872301,2.846e-05,0.00224,1.215,59.52,-0.463,3.836,0.121,871.7,26.4,28.59,8.61,876.0,139.26,125.69,38.2,1.0,0.084,-0.196,1.06,0.319,-0.137,0
2.539183147,5.073e-06,0.0016,0.238,0.198,-0.238,2.4282,0.0559,382.1,11.4,2.06,0.29,1332.0,743.09,290.34,38.9,1.0,0.126,-0.103,1.062,0.154,-0.14,2
6.770300385,9.537e-06,0.00108,0.838,0.083,-0.589,2.0844,0.0454,1304.0,29.7,2.77,0.46,812.0,102.87,53.88,50.8,1.0,0.028,-0.112,0.679,0.112,-0.037,2
0.444291966,9.7e-08,0.000169,1.258,0.334,-0.141,2.0792,0.0115,10967.4,45.9,27.51,3.46,1836.0,2706.26,1149.42,299.7,1.0,0.028,-0.083,0.636,0.08,-0.04,0
10.181584004,6.188e-06,0.000483,0.92,0.007,-0.005,3.5089,0.0331,5741.1,53.2,7.73,2.17,812.0,102.91,86.75,183.6,1.0,0.048,-0.192,0.836,0.234,-0.078,1
20.06036336,5.839e-05,0.00241,0.556,0.323,-0.368,3.3203,0.0754,1494.7,45.1,1.96,0.13,361.0,4.0,0.89,35.2,2.0,0.042,-0.031,0.493,0.033,-0.04,2
46.1842039,0.0002654,0.0043,0.013,0.415,-0.013,4.758,0.13,1394.7,56.4,1.83,0.12,273.0,1.32,0.29,26.0,3.0,0.042,-0.031,0.493,0.033,-0.04,2
23.9800854,0.0002003,0.00647,0.95,0.004,-0.66,5.351,0.177,104.0,6.5,1.31,0.2,649.0,41.94,17.84,17.1,4.0,0.09,-0.11,1.012,0.154,-0.103,2
7.82502168,3.89e-05,0.00436,0.708,0.234,-0.487,2.186,0.12,520.8,36.4,1.2,0.08,494.0,14.05,3.1,15.9,4.0,0.042,-0.031,0.493,0.033,-0.04,2
3.895936525,7.71e-07,0.000157,0.524,0.069,-0.237,2.3111,0.0302,8544.8,29.5,7.34,1.53,1005.0,241.62,155.31,370.8,1.0,0.034,-0.136,0.774,0.161,-0.069,2
